description,item_id,span,inflRank,upSh12m,upCh12m,upShLR,upChLR,upSh1m,upCh1m,date,nPrices,desc_short
DINING TABLE & 2-6 CHAIRS,430141,68,225,.66037738,.31432119,.48794889,.36814448,.2081448,.19637586,416,221,
WOMENS HIGHLIGHTING,520311,336,226,.65909094,.12949795,.47146955,.11015783,.055555556,.072148889,416,180,
FRESH VEG-LETTUCE-ICEBERG-EACH,212511,414,227,.65909094,.30469698,.43515211,.26207581,.10666667,.16392405,416,375,Lettuce
MEN'S FORMAL SHIRT-LONG SLEEVE,510109,412,228,.65822786,.36330357,.32502073,.36113095,.11743772,.17927834,416,281,Mens shirt
MENS JACKET/COAT,510104,413,229,.65725809,.554654,.41878673,.4762179,.25283018,.35634026,416,265,Mens jacket
RASPBERRIES PUNNET OR PER KG,212734,56,230,.655303,.26289964,.36838821,.55890739,.13905326,.16649297,416,338,
WASHING UP LIQUID 380-900ML,430507,413,231,.65476191,.64274347,.42170984,.17298344,.13259669,.30720055,416,181,Washing up liquid
CAR REPAIRS MAIN DEALER,610235,200,232,.65454543,.13679336,.49285984,.092262544,.057971016,.10185575,416,69,
WOMEN'S HRDRESSING-CUT/BLOWDRY,520303,405,233,.65185183,.11748284,.54471463,.10221884,.060439561,.09965951,416,182,Womens hairdressing
LUGGAGE TROLLEY CASE - 60-70CM,520134,212,234,.6511628,.492672,.4296194,.38143191,.16981132,.64707786,416,53,
COFFEE-INSTANT 90 -100G JAR,213003,414,235,.65053761,.46042249,.39900374,.14591448,.24630542,.33978021,416,203,Instant coffee
CUT FLOWERS-CARNATIONS-STEM,630518,260,236,.65048546,.26018134,.31687438,.23325646,.1,.23889793,416,120,
BRAND CHOC SWEETS 90-185G BAG,212223,128,237,.64935064,.26032498,.25488144,.43835354,.067708336,.2110202,416,192,
FUNERAL-CREMATION,440227,296,238,.64930558,.089670442,.76642245,.103129,.10508475,.046823192,416,295,
PIZZA TAKEAWAY OR DELIVERED,220316,272,239,.64835167,.12658708,.37234804,.13233982,.20175439,.11051437,416,114,
WOMEN'S JUMPER,510212,413,240,.6479401,.48802599,.42776626,.46466175,.22033899,.58025914,416,295,Womens jumper
MODEL RD VEHICLE EG HOT WHEELS,630313,413,241,.64601767,.20671827,.3262938,1.0727659,.094202898,.12901577,416,138,Model car
FRUIT FRESH SNACKING 150-350G,212730,104,242,.64516127,.31070119,.24712376,.30544052,.12796208,.10265361,416,211,
CLEAR STICKY TAPE,430525,284,243,.64429528,.26442075,.3088212,.38445258,.082901552,.28838056,416,193,
SOLID GOLD RING 9CT,520130,236,244,.64285713,.17559239,.4708342,.30148718,.060606062,.090290889,416,165,
"CHEESE SPREAD, 125g-200g TUB",211506,296,245,.64130437,.48803318,.36580303,.2268514,.33980581,.25862256,416,103,
WOMEN'S JEANS- OWN BRAND,510248,224,247,.640625,.24008721,.31988326,.35334045,.13120568,.2795909,416,282,
WHISKY (PER NIP) SPECIFY ML,310301,405,248,.64018691,.091121107,.69440436,.076004565,.042704627,.040846758,416,281,Whiskey nip
BACON-GAMMON-PER KG,210802,414,249,.63999999,.11526576,.43034419,.15691315,.14117648,.095252246,416,170,Gammon
BLACK INKJET CARTRIDGE,430530,236,251,.63803679,.16286564,.44661239,.21957581,.060606062,.1269657,416,198,
CHILDS SCOOTER AGE 5-12 YEARS,630374,68,252,.63768119,.28997868,.46932036,.3464388,.035294119,.099860549,416,170,
ELECTRIC RAZOR,430321,284,253,.63736266,.47925174,.4398517,.47819024,.24719101,.33468243,416,89,
CD ALBUM (TOP 40),630230,175,254,.63636363,.32244897,.35940656,.30038923,.25,.15000001,416,12,
BLEACH 750ML,430529,236,255,.63414633,.29367045,.36699489,.17007028,.25362319,.14837252,416,138,
CHILLED GARLIC BREAD,210114,152,256,.63184083,.33264145,.32420275,.31047845,.14414415,.28604737,416,222,
COMPUTER GAME 2,630379,32,257,.63157892,.67902452,.46752015,.72233355,.5,.81312656,416,16,
POWER DRILL-HAMMER ACTION,410614,413,258,.63063061,.23379517,.38758036,.28924748,.18796992,.36845449,416,133,Power drill
BABY WIPES 50-85,520249,128,259,.63005781,.22021633,.29719424,.3145957,.11229946,.45781776,416,187,
MENS CASUAL S/SLEEVE TOP,510113,356,260,.62704921,.28865498,.36541563,.44802126,.16606498,.21194448,416,277,
MENS JEANS,510106,413,261,.62548262,.22903678,.35438192,.29657751,.090277776,.25794011,416,288,Mens jeands
ARMCHAIR -UPHOLSTERED,430104,413,262,.625,.24769883,.47938541,.25203142,.20444444,.23614819,416,225,Armchair
"SMALL SAUCEPAN,MILK",430407,413,263,.625,.46525937,.36842364,.42986119,.056451611,.28487605,416,124,Small saucepan
CAR REPAIRS LOCAL GARAGE,610236,200,264,.62162161,.1267478,.37011987,.1263044,.043010753,.067822456,416,93,
FABRIC CONDITIONER 500ML-1.5LT,430531,224,265,.62162161,.2752634,.41746897,.31300354,.19354838,.27440161,416,124,
"DINNER PLATE, APPROX DIAMETER",430425,44,266,.62135923,.37579501,.33868894,.43215689,.071428575,.41307634,416,252,
VACUUM CLEANER,430355,140,268,.6201117,.28241318,.45374721,.340969,.13963965,.14071462,416,222,
WOMANS BOOTS,510529,210,269,.6201117,.33594492,.40479836,.49621251,.10869565,.20824012,416,184,
WOMENS BLOUSE/SHIRT 1,510206,413,270,.61923075,.52001846,.4106608,.46300271,.18213059,.35321584,416,291,Womens blouse
LAGER 10-24 BOTTLES 250-330ML,310217,176,271,.61904764,.14867865,.41445157,.19803387,.24242425,.11107772,416,66,
FIZZY ENERGY DRINK 250-500ML,212015,260,272,.61616164,.12169768,.43148461,.13276318,.040983606,.084202774,416,122,
P'PARED MASHED POTATO 400-650G,212409,56,273,.61538464,.26002303,.27274749,.20496647,.14052288,.20141356,416,306,
MEN'S CLOTHING HIRE- SEE HELP,440132,96,274,.61403507,.22988293,.32395622,.12645936,.056338027,.20888062,416,71,
CORN SNACK SINGLE PACK MAX 50G,210211,260,275,.61363637,.18308346,.52429521,.17006829,.087499999,.11589043,416,80,
CRAFT KIT FOR CHILD 5 YRS+,630365,140,276,.61313868,.21964452,.39272809,.48189268,.14102565,.12250944,416,156,
WOMEN'S SWIMWEAR,510409,272,277,.6122449,.29902905,.38815615,.34172979,.041666668,.37576783,416,168,
CHOCOLATE 12,212226,68,278,.61194032,.23575619,.23852673,.23272441,.19480519,.25425288,416,154,
WOMENS BLOUSE / SHIRT 2,510257,140,279,.61048687,.42224917,.40867573,.53694534,.21428572,.47222564,416,294,
MENS SHOE FORMAL STYLE,510501,413,280,.60909092,.25145829,.40357715,.25385371,.10894942,.10883383,416,257,Mens formal shoe
SELF-DRIVE VAN HIRE,620303,413,281,.60849059,.15744033,.41551653,.1568653,.053278688,.10003478,416,244,Van hire
WOMENS DRESS -CASUAL/FORMAL,510245,248,282,.60754716,.47279996,.42343974,.53357708,.31034482,.5982331,416,290,
HAIR GEL 150-200ML,520237,236,283,.60683763,.19511439,.33024055,.23210306,.23529412,.19719976,416,136,
STAFF RESTAURNT HOT SNACK ITEM,220208,264,284,.60606062,.43952784,.40529078,.29440302,.040816326,.04494885,416,49,
HIRE OF DOMES CARPET CLEANER,410632,164,285,.60526317,.10446152,.36549389,.17401619,.010526316,.13043478,416,95,
WOMEN'S SHOWERPROOF JACKET,510256,200,286,.60504204,.35870475,.4478344,.53957516,.19117647,.61172116,416,136,
WOMENS BASIC PLAIN T-SHIRT,510215,379,287,.60323888,.36502516,.35341436,.53079581,.11267605,.43431985,416,284,Womens t-shirt
MENS OFFICIAL FOOTBALL SHIRT,510127,236,288,.60240966,.42992616,.46632969,.41775662,.11340206,.83928633,416,97,
COFFEE TABLE,430120,402,289,.60227275,.34954029,.39638242,.35913256,.1952381,.21216513,416,210,Coffee table
NURSING HOME,520325,248,290,.60215056,.11210787,.60694146,.11630135,.10769231,.12362428,416,130,
JOINT OV/READ GAM/POR 450-900G,211025,92,291,.60176992,.24852626,.37568429,.2132515,.04225352,.069332585,416,142,
SHOWER HEAD,410631,188,292,.60000002,.32524467,.42882821,.34651801,.14285715,.1882786,416,133,
GARDEN SPADE,630505,413,293,.60000002,.71444935,.36488819,.2758356,.01923077,.18998349,416,104,Garden spade
BOY'S SHOES,510507,413,294,.5990566,.15782461,.39925864,.24254341,.12272727,.084526882,416,220,Boys shoes
MEN'S TRACKSUIT/JOGGIN BOTTOMS,510122,308,295,.5959596,.26918623,.36261007,.27643809,.08372093,.49212986,416,215,
APPLE CIDER 4 CAN PK 440-500ML,310221,68,296,.59523809,.095124416,.35359815,.12510295,.27272728,.1015716,416,220,
MINICAB FARE FOR 2 MILES,620308,332,297,.59523809,.33448783,.33786771,.18787967,.096774191,.15865454,416,124,
WALKING/HIKING BOOT,510534,128,298,.5945946,.17886996,.42907256,.26682922,.074626863,.54889208,416,134,
FOOTBALL,630336,248,299,.59405941,.25522113,.36902365,.40420368,.024193548,.24535695,416,124,
PHONE NT MOBILE(SPEC DIG/ANAL),430323,248,300,.5933333,.82195181,.34576386,.42939162,.03164557,.29923159,416,158,
PARMESAN CHEESE-PER KG,211510,164,301,.59292036,.13834752,.40050408,.12547649,.079999998,.086957902,416,125,
PLASTIC FOOD STORAGE CONTAINER,430418,308,302,.5925926,.45923164,.33000594,.44666705,.12751678,.11281339,416,149,
SWIMMING POOL ADM STND ADULT,640219,344,303,.5925926,.066842601,.73917997,.078514844,.023529412,.068004847,416,170,
"WOMEN'S SHOES-FLAT MAX 1"" HEEL",510530,224,304,.59024388,.22639628,.35340345,.36124524,.2519685,.23204146,416,254,
PORTABLE DIGITAL MUSIC PLAYER,630165,32,305,.59016395,.31772587,.4377138,.33431742,0,,416,61,
WOMEN'S VEST/STRAPPY TOP,510244,260,306,.58995813,1.1801337,.34222358,.73430842,.16728625,.66379839,416,269,
DRYCELL BATTERY 4 PACK EG AA,430539,56,307,.58928573,.7657218,.31214941,.2531344,.0089686103,.29411766,416,223,
RESTAURANT CUP OF COFFEE,220121,192,308,.58898306,.15385449,.38815853,.11083554,.043343652,.14798857,416,323,
CAR SERVICE- LOCAL GARAGE,610231,224,309,.58823532,.18394221,.44672421,.17636105,.090909094,.097977288,416,88,
SCISSORS - HOUSEHOLD,430409,413,310,.58823532,.53941953,.30501691,.49541715,.14285715,.33346164,416,105,Scissors
WOMEN'S CARDIGAN,510233,284,311,.58801496,.520289,.37279502,.45767939,.1423611,.60933822,416,288,
DOOR HANDLE-PACK FOR ONE DOOR,410611,413,312,.58474576,.22278111,.40961462,.23387431,.0390625,.10168953,416,128,Door handle
GIRLS JACKET (5-13 YEARS),510347,140,313,.58431375,.502855,.44415694,.44712809,.26978418,.51609117,416,278,
RESIDENTIAL HOME,520324,248,314,.58333331,.11677647,.64194775,.084425144,.078014188,.14405595,416,141,
LADIES HAND/SHLDER BAG,520109,402,315,.5826087,.32788482,.42317224,.44512331,.1632653,.2686497,416,147,Ladies handbag
MENS BASE LAYER TOP LONG/SHORT,510433,68,316,.5825243,.39501923,.40612781,.46058685,.12605043,.45811653,416,119,
POTATO CRISPS 25G-50G,212402,414,317,.58095241,.08423318,.56686372,.10550044,.036036037,.058034167,416,222,Crisps
POTATOES-NEW-PER KG,212309,300,318,.58024693,.2849001,.4593091,.44090715,.13793103,.25280192,416,377,
"WINE, PER 175 - 250 ML SERVING",310310,228,319,.57943922,.10834085,.58933604,.093498886,.047272727,.076128446,416,275,
PUSHCHAIR/STROLLER,620304,413,320,.57894737,.2004011,.46129483,.34903976,.17204301,.041959975,416,93,Pushchair
FRESH VEG-PEPPERS -LOOSE OR KG,212532,176,321,.57865167,.30076519,.34909204,.34998131,.23923445,.11038482,416,418,
CIDER FLAVOURED BOTT 500-568ML,310222,68,322,.57819903,.16898148,.27160409,.11840506,.09049774,.055387281,416,221,
WHEEL ALIGNMENT,610241,44,323,.578125,.11088271,.23058952,.16167577,.035714287,.12432327,416,84,
NURSERY FEES: CHILD 0-4,440232,259,324,.57692307,.092033185,.63832593,.09099856,.046052631,.10860568,416,152,
WHISKY-70 CL BOTTLE,310401,413,325,.57692307,.10177584,.48892075,.092864104,.13274336,.14241864,416,113,Whisky bottle
CHEST OF DRAWERS,430127,296,326,.57485032,.30549449,.4684937,.28761154,.23902439,.20966315,416,205,
CHILD'S PLASTIC DOLL,630312,413,327,.57462686,.23430429,.38760385,.4365938,.13725491,.1932936,416,153,Doll
HOUSE CONVEYANCING,440249,201,328,.57364339,.17586231,.45057002,.13151327,.043165468,.094848573,416,139,
BOOK - TEENAGE FICTION,630437,128,329,.5726496,.16954254,.2710278,.21941923,.10067114,.19814397,416,149,
MEN'S BRANDED SPORT SWEATSHIRT,510128,224,330,.57258064,.26582101,.41335428,.36288723,.2013889,.45387378,416,144,
FLOWER VASE,520118,320,331,.5714286,.52785414,.34189039,.50417036,.02631579,.14430034,416,152,
GIRL'S SHOES SCHOOL,510508,413,332,.5714286,.14777981,.40277255,.26073796,.047413792,.1669683,416,232,Girls shoes
FRESH VEG-CABBAGE-WHOLE-PER KG,212516,413,333,.570997,.31793118,.38412678,.31900024,.063829787,.13710016,416,376,Cabbage
ELECTRIC IRON,430317,285,334,.56953645,.29097232,.40077567,.32520443,.10365853,.1777755,416,164,
CONDOMS PACK OF 3-14,520230,284,335,.56756759,.13545817,.32422027,.4003388,.13846155,.12946895,416,130,
CINEMA POPCORN,220324,201,337,.56716418,.22206925,.60231352,.065041453,.048192769,.071120679,416,83,
WOMEN'S SKIRT: CASUAL,510237,260,338,.56680161,.62647897,.41976115,.52007234,.27636364,.50992209,416,275,
VEGETABLE STIR FRY FRESH PACK,212533,116,339,.56544501,.220571,.17670745,.21242668,.11111111,.12452046,416,189,
DUVET COVER,430216,380,340,.56435645,.34837502,.34023473,.37039617,.075221241,.23690213,416,226,Duvet cover
HOME-BUYERS SURVEY-RSDNTL PPTY,440226,273,341,.56410259,.13421799,.4648906,.15508433,.047619049,.072554708,416,84,
"DISP NAPPIES, SPEC TYPE, 20-60",520219,413,342,.5625,.19295581,.30758831,.31095022,.28431374,.16153441,416,204,Disposable nappies
MULTI-VITAMINS CAPSULES/TABLET,520222,368,343,.55855858,.19953565,.29315281,.36363986,.18897638,.12937981,416,127,Multivitamins
"PEANUT BUTTER, JAR, 225-350G",211409,44,344,.55778897,.12313295,.41775224,.46014452,.18229167,.33660787,416,192,
CHILD'S BABY DOLL,630347,212,345,.55555558,.38921267,.39646012,.41847172,.096296296,.26672247,416,135,
LADY'S SCARF,510432,332,346,.55491328,.37350258,.37183425,.58146137,.2,.54783982,416,195,
SOFT PLAY SESSION TIME PERIOD,640243,44,347,.55462188,.15042838,.36464244,.12199432,.044117648,.11438575,416,136,
ADULT BIKE,620318,212,348,.55319148,.1905624,.48220959,.23481157,.091891892,.11878408,416,185,
WOMEN'S SANDALS,510506,413,349,.55147058,.41577545,.41093743,.4463585,.22988506,.78416574,416,174,Womens sandals
SHOWER GEL 150-250ML,520238,236,350,.54929578,.48699865,.28151387,.44119206,.17449665,1.0314945,416,149,
MEN'S JUMPER-KNITTED,510108,413,351,.5487805,.35633495,.4112961,.407112,.3125,.32423702,416,256,Mens jumper
PLASTERS-20-40 PACK,520228,308,353,.54639173,.20126519,.3086116,.21823063,.38211381,.14871716,416,123,
STAINLESS STEEL CUTLERY SET,430419,260,354,.54609931,1.1128592,.31511512,.45598865,.12804878,.080302186,416,164,
ANIMAL CAGE (E.G FOR GERBIL),430617,248,355,.54545456,.22823401,.35372785,.25647244,.020833334,.11071429,416,96,
WOMENS EXERCISE LEGGINGS,510260,56,356,.54128438,.32375839,.3859365,.32398966,.13389121,.21270569,416,239,
TEN-PIN BOWLING PER GAME,640224,259,357,.54098362,.078129835,.48548216,.10848246,.045112781,.039084591,416,133,
"CHILDS BOOK, FICTION 6-12YRS",630440,44,358,.54074073,.38053593,.40905166,.31820109,.15243903,.58286262,416,164,
WASHING LIQUID 800ML/1.5LTR,430540,44,359,.53846157,.26584119,.35708079,.36714721,.19512194,.24789825,416,164,
WOMENS HAIR COLOURANT 60-140ML,520236,248,360,.53636366,.13115376,.34285128,.17814898,.11811024,.15976092,416,127,
MEN'S SHOE CASUAL STYLE,510515,308,361,.53631288,.28052127,.35813573,.32265317,.070833333,.44465503,416,240,
CREAM LIQUER 70CL-1LT 14-20%,310428,80,362,.53448278,.18538551,.30543032,.2149604,.082051285,.26838759,416,195,
WOMEN'S TROUSERS-CASUAL,510235,260,363,.53383458,.34456652,.3995555,.47055948,.1462585,.49573684,416,294,
MENS CASUAL SHIRT,510131,140,364,.53174603,.43220484,.37604937,.4287965,.18505338,.29531842,416,281,
MENS BRANDED T-SHIRT,510126,248,365,.53174603,.30762598,.36927134,.34199312,.083333336,.2116323,416,144,
WOMEN'S SKIRT: WORK/FORMAL,510238,260,366,.5316456,.44601226,.36567345,.52870196,.17948718,.4990581,416,273,
WOMEN'S TROUSERS-FORMAL,510236,260,367,.53012049,.43057784,.31895787,.44462633,.15463917,.44272172,416,291,
CAR SERVICE- MAIN DEALER,610232,224,368,.52941179,.22967677,.52150756,.17637213,.030303031,.14005603,416,66,
NAIL VARNISH BOTTLE 6 - 14mls,520250,80,369,.52840906,.13259742,.26699418,.39186573,.051813472,.28963995,416,193,
MEN'S CASUAL TROUSERS,510118,308,370,.52822578,.25738722,.32233,.38376004,.092198581,.38021296,416,282,
WOMEN'S CASUAL OUTER JACKET,510219,308,371,.52692306,.42083696,.40859494,.51618606,.26666668,.37940392,416,285,
DIGITAL RADIO (DAB),630138,188,372,.52671754,.25044948,.37487769,.3292045,.0931677,.36429062,416,161,
MEN'S PANTS/BOXER SHORTS,510402,413,373,.52564102,.32953954,.32396317,.36771229,.1423077,.21689305,416,260,Mens pants
BODY M'RISING LOTION 200-400ML,520252,56,374,.52499998,.40497637,.35347596,.5215171,.20952381,.28693408,416,210,
MEN'S JUMPER OR SWEATSHIRT,510120,308,375,.52479339,.50660276,.38979328,.45535037,.19117647,.2419389,416,272,
VODKA-70 CL BOTTLE,310403,413,376,.52409637,.082196958,.47651699,.090069741,.15789473,.16727316,416,190,Vodka bottle
TOOTHPASTE (SPECIFY SIZE),520209,413,377,.51999998,.62082601,.42822719,.29050457,.171875,.52798587,416,128,Toothpaste
"HAT/CAP, ADULT",510434,44,378,.51898736,.73150617,.40134922,.64837998,.24666667,.40707874,416,150,
FITTED BED SHEET,430224,308,379,.51778656,.26704395,.27591559,.27093658,.052631579,.27776638,416,285,
PLAIN GLASS TUMBLER,430422,224,380,.51754385,.43290463,.2684218,.75647658,.104,.35739359,416,125,
FRESH VEG-MUSHROOMS-PER KG,212520,413,381,.51558071,.25327876,.34999561,.17598832,.037037037,.19820175,416,405,Mushrooms
PERFUME/FRAGRANCE MEN OR WOMEN,520234,260,382,.51376146,.25584379,.42982477,.23966755,.2265625,.27359465,416,128,
WOMEN'S JEANS- BRANDED,510249,224,383,.51219511,.63865042,.36696249,.40210128,.30612245,.80101091,416,98,
MAN'S HAIRCUT,520301,405,384,.5103448,.15295912,.45121759,.14004685,.071428575,.12574086,416,182,Mens haircut
MASCARA,520223,356,385,.51006711,.16652603,.3989512,.20871203,.090361446,.24801941,416,166,
RED WINE- EUROPEAN 75CL,310421,224,386,.50970876,.18317528,.47408962,.17511708,.24170616,.22216247,416,211,
WOMEN'S LONG SLV TOP-NT BLOUSE,510223,308,387,.50950569,.65763921,.40748906,.63756812,.15957446,.54684508,416,282,
EXERCISE CLASS UPTO 1HR,640222,312,388,.50806451,.11017136,.60036552,.085666582,.030864198,.070628352,416,162,
BLUEBERRIES PUNNET OR PER KG,212733,56,389,.50757575,.30457798,.36006239,.72064126,.27051672,.22218013,416,329,
HOME CARE ASSISTANT HRLY RATE,440128,212,390,.50746268,.13501543,.4925009,.095733263,.010869565,.027027028,416,92,
SHAMPOO-250-400ML,520226,320,391,.50393701,.37842831,.35238919,.35602048,.34999999,.40166351,416,140,
BREAKFAST CEREAL GLUTEN FREE,210219,32,393,.5029586,.34230191,.24033886,.2858724,.1627907,.076411337,416,172,
TABLE LAMP,430322,260,394,.50270271,.41200787,.35439846,.62540925,.10810811,.42406747,416,222,
WOMENS SHORT SLEEVE FORMAL TOP,510259,80,396,.4979592,.8887555,.4112924,.60765755,.19202898,.58623356,416,276,
"BRA, CUP SIZE A-D RANGE",510407,413,397,.4979592,.39950037,.38335723,.29540673,.20149253,.25162718,416,268,Bra
MEN'S TIE,510419,413,398,.4973262,.36280051,.2588526,.41479358,.20103092,.54366851,416,194,Mens tie
WOMEN'S COAT - SEE HELP SCREEN,510250,117,399,.49532712,.50642252,.45525447,.45381027,,,416,0,
WOMEN'S FORMAL JACKET,510208,413,400,.49532712,.30089927,.39710352,.43427649,.10992908,.26673406,416,282,Womens jacket
TAMPONS-PACK OF 10-20,520206,413,401,.49238577,.17845728,.39336747,.19531296,.11518325,.13699692,416,191,Tampons
BABY SLEEPSUIT LONG SLEEVE,510330,248,402,.49173555,.27850693,.3110379,.43482479,.14814815,.3336243,416,270,Babygrow
WALL HANGING MIRROR UPTO 1.5SQ,520132,224,404,.48823529,.29902306,.34674752,.92468095,.19617225,.12855905,416,209,
MOISTURISER FACIAL 50-150ML,520215,413,405,.48780489,.7045458,.43885463,.29794979,.19047619,.58358985,416,147,Moisturiser
WOMENS SHORT SLEEVE SPORTS TOP,510246,248,406,.48648649,.42629409,.39143905,.42221656,.13397129,.428794,416,209,
"CANNED FISH, TUNA, 130G-200G",211207,403,407,.48333332,.16892134,.41110587,.17125668,.091603056,.10940605,416,131,Tuna fish
SWEET POTATO PER KG OR EACH,212535,56,408,.48232323,.15766186,.35336164,.27851602,.12416852,.094228722,416,451,
DRIED FRUIT - EG APRICOTS,212808,140,409,.47931033,.17085841,.3436265,.20599036,.049180329,.052784659,416,305,
PORTABLE SPEAKER,630162,44,410,.47902098,1.7030685,.41693738,.61986715,.069306932,.23300527,416,303,
GIRLS SKIRT FOR SCHOOL 5-13YRS,510336,248,412,.47807017,.29041311,.30557117,.35285637,.12,.50145215,416,225,
COMPUTER GAME 1,630378,32,413,.47619048,.12307692,.20594208,.19909181,0,,416,21,
RECORDABLE CD PRICE PER CD,630226,212,414,.47560975,.35720897,.27810982,.44620225,.096153848,.22486641,416,104,
MEN'S FORMAL RDY-MADE TROUSERS,510117,308,415,.47499999,.37561694,.28301567,.35928082,.12867647,.21782815,416,272,
PRE-PACKED SALAD 100-250G,212527,248,416,.47368422,.19189695,.24749172,.28261933,.27205881,.15808086,416,136,
WOMEN'S NIGHTDRESS/PYJAMAS,510405,413,417,.47325101,.30398521,.38924521,.3867996,.15730338,.50541246,416,267,Woments pyjamas
BOYS T-SHIRT 3-13 YEARS,510348,80,418,.47120419,.61889273,.41185611,.44379196,.13065326,.24710059,416,199,
TROUSERS  FOR SCHOOL 5-13 YRS,510324,248,419,.47083333,.25620791,.28144369,.34052229,.11969112,.22175835,416,259,
SECONDARY SCHOOL- CAFETERIA,220210,230,420,.47014925,.086941034,.53526467,.071923651,.26811594,.07963492,416,138,
WOMEN'S TRAINING SHOES,510517,308,421,.47008547,.18679582,.38889739,.2990396,.090909094,.19833052,416,121,
CHILD'S TRAINERS-SPORTS,510528,236,422,.46956521,.21813361,.40607902,.28617695,.099236645,.22046556,416,131,
VENDING MACHINE - SOFT DRINK,220325,177,423,.46666667,.18370344,.29365918,.17666993,.14545454,.12449537,416,55,
PRIVATE DENTAL EXAMINATION,520326,232,424,.46478873,.18203987,.38520318,.16013707,.038961038,.25544113,416,154,
THEATRE ADULT EVES-FRONT STLLS,640212,397,425,.46031746,.26377943,.5118171,.30064386,.2962963,.33121294,416,54,Theatre tickets
BREAKFAST CEREAL 2,210214,200,426,.4601227,.37486562,.45565805,.18270409,.15346535,.15205657,416,202,
MEN'S TRAINING SHOE-SPORTSWEAR,510516,308,428,.45901638,.19704644,.40547165,.26806265,.09375,.20942758,416,128,
KNITTING WOOL-DOUBLE KNIT-100G,510429,308,429,.45833334,.25070015,.36975434,.15044804,.1632653,.056142006,416,98,
DUVET-DOUBLE TOG 10-13.5,430211,413,430,.45508981,.26540339,.34596664,.31640497,.09223301,.099969819,416,206,Duvet
PLUMS PER KG/PACK,212726,164,431,.45338982,.47709647,.36720324,.49978629,.12686567,.23783651,416,268,
ELECTRIC TOOTHBRUSH,430363,44,432,.45317221,1.1296873,.45126528,.81369185,.34210527,.42448878,416,342,
"BAKEWARE, METAL, TRAY/ROASTING",430424,44,433,.45306122,.30408639,.417725,.4661364,.16549295,.29659534,416,284,
BATH SHEET,430228,260,434,.4529148,.36711609,.28108868,.33169582,.11877394,.1340985,416,261,
JIGSAW MINIMUM 100 PIECES,630373,68,435,.45070422,.19324684,.41422406,.29054496,.1125,.16399139,416,160,
HOT CHOCOLATE DRINK INSTANT,213005,116,436,.45026177,.20839311,.30589285,.19303316,.040540539,.1039362,416,222,
FLOOR RUG STATE SIZE & MATERIA,430235,68,437,.44957983,.3962248,.31824884,.37991154,.15120275,.14506516,416,291,
ROSE WINE-75CL BOTTLE,310425,164,438,.44705883,.16216291,.44465673,.16123033,.23423423,.224796,416,111,
"SEEDS,PKT,SPEC VAR(SEASONAL)",630526,35,439,.44594595,.36972609,.36630657,.53288788,.1827957,.79447782,416,93,
LAGER 10 - 24 CANS (440-500ML),310216,224,440,.44444445,.088438846,.44999254,.18502519,.2932331,.1041989,416,133,
WINDSCREEN WIPER BLADES,610221,356,441,.44444445,.22093232,.32427779,.17417109,.075757578,.16266134,416,132,
GRAPES-PER KG,212722,413,442,.44444445,.19903992,.41987026,.31712192,.20769231,.25075856,416,390,Grapes
GRAPEFRUIT-EACH,212715,332,443,.44290659,.16912511,.38706842,.23925056,.16714698,.057697631,416,347,
APPLES-DESSERT-PER KG,212717,413,444,.44239631,.16270582,.4612667,.20188594,.031620555,.23525995,416,253,Apples
PAIN KILLER TABLETS-16-24 PACK,520227,308,445,.44230768,.26465967,.38619995,.26585454,.065573767,.21071602,416,122,
BRANDY 70CL BOTTLE,310405,413,446,.44036698,.12625663,.49892542,.10812674,.28099173,.19987787,416,121,"Brandy, bottle"
ELECTRIC KETTLE - 1.5-1.7L,430307,413,447,.43850267,.48648766,.3772386,.28361529,.18309858,.32432628,416,213,Electric kettle
WOMEN'S TIGHTS,510415,413,448,.4380531,1.5475633,.30699867,.44649497,.14574899,1.1305751,416,247,Womens tights
DIAMOND SOLITAIRE RING,520135,188,449,.43589744,.35053074,.40247214,.44969466,.083333336,.20940685,416,180,
FRESH VEG-ONIONS-PER KG,212519,413,450,.43567252,.2003413,.4216443,.27149242,.159601,.14006646,416,401,Onions
DOMESTIC CLEANER HOURLY RATE,440101,413,451,.43478259,.14405382,.4465616,.13134469,.048611112,.15749727,416,144,"Cleaner, hour"
PRESCHOOL ACTIVITY TOY,630341,224,452,.43434343,.29987431,.41173637,.36878622,.17910448,.36966401,416,134,
LADY'S UMBRELLA -FOLDING,520103,413,453,.43382353,.16677177,.29794502,.29380935,.12578617,.23170152,416,159,Ladies umbrella
ORANGES-CLASS 1-EACH,212709,414,454,.43235293,.27135143,.40058613,.32175818,.054404143,.37507021,416,386,Oranges
"SLEEPING BAG, ADULT",630317,413,455,.43209878,.32980421,.35603738,.31877223,.17708333,.54444718,416,96,Sleeping bag
RE-USABLE BOTTLE/MUG ADULT,520142,32,456,.43076923,.33679453,.35377809,.57823533,.018518519,.23579542,416,216,
"POPCORN, BAG, 10-30G",210218,44,457,.43065694,.25496036,.2823956,.31346652,.13178295,.32076362,416,129,
WHITE WINE- EUROPEAN 75CL,310419,224,458,.4300518,.17366375,.49138945,.15324681,.065326631,.099666744,416,199,
BOYS JEANS (5-13 YEARS),510328,248,459,.42798355,.3816334,.37443143,.39640301,.10344828,.51875347,416,261,
